	AP1	AP2	AP3	AP4	AP5	Coordenada X	Coordenada Y	id
241	-78	-72	-51	-52	-70	13.38	6.56	242
242	-81	-78	-62	-46	-69	10.41	5.58	243
243	-74	-70	-54	-57	-61	11.43	5.58	244
244	-77	-77	-58	-46	-70	12.36	5.62	245
245	-80	-71	-55	-55	-62	13.34	5.67	246
246	-83	-68	-55	-48	-70	10.36	4.6	247
247	-77	-68	-51	-46	-72	11.38	4.6	248
248	-72	-75	-56	-48	-67	12.4	4.6	249
249	-77	-80	-65	-58	-70	13.42	4.65	250
250	-77	-72	-56	-38	-68	10.41	3.62	251
251	-84	-78	-66	-50	-72	11.38	3.57	252
252	-78	-81	-63	-57	-75	12.4	3.62	253
253	-78	-74	-59	-58	-74	13.34	3.67	254
254	-81	-77	-63	-53	-71	10.41	2.55	255
255	-83	-74	-63	-56	-71	11.43	2.59	256
256	-80	-76	-60	-59	-79	12.4	2.64	257
257	-84	-79	-63	-60	-68	13.38	2.59	258
258	-80	-72	-63	-51	-72	10.45	1.57	259
259	-75	-64	-59	-48	-69	11.43	1.57	260
260	-75	-75	-56	-56	-77	12.4	1.66	261
261	-74	-76	-58	-52	-66	13.38	1.62	262
